prov,poblacionjoven,sabeleer,noTieneRel,agua,alumbrado,etniticidad,gas,sis,acsedu,electores,votoscas,porcentaje
CONTRALMIRANTE VILLAR,0.187063684285511,0.845182124709123,0.0342711948438275,0.128016085790885,0.868575493508803,0.140059494298463,0.821416234887738,0.58897278814646,0.324279462803682,15341,3159,0.273
CONTUMAZA,0.145993572382913,0.825298811974145,0.105134699516463,0.762249614791988,0.708433459205859,0.114667280681557,0.339018485915493,0.743148087964468,0.28564386470499,21730,8516,0.6084
CORONEL PORTILLO,0.196198017533996,0.831269132254639,0.0718550076229286,0.940628875261182,0.827319415727339,0.116445577988972,0.781502729613367,0.531428958164137,0.358226063401664,299131,89402,0.45
CORONGO,0.141795007966012,0.797265002655337,0.0107925801011804,0.927250308261406,0.89679012345679,0.244013490725127,0.242510699001427,0.697822623473181,0.288300835654596,5688,2174,0.5982
COTABAMBAS,0.185960202147821,0.73039718888187,0.0192153929483377,0.751458976999657,0.68989042795121,0.898326068453225,0.331256558237146,0.737188092229943,0.339363588941054,36070,20212,0.9116
CUSCO,0.231701922303547,0.872282098715783,0.0490996185576155,0.864018199186552,0.968217497725802,0.640698460924333,0.914508202559293,0.319776222776303,0.376831048385204,356439,188294,0.7155
CUTERVO,0.157525906413857,0.755009401688162,0.0221592927976915,0.807123052290389,0.738955261464425,0.0696327242578575,0.31032883067267,0.86297557217763,0.33572732805843,98205,42346,0.731
DANIEL ALCIDES CARRION,0.25819183111519,0.832905002294631,0.00818317077202844,0.775360098069261,0.683437135072012,0.702209731636083,0.282960538279687,0.739995410738871,0.274739397401114,24010,12965,0.8574
DATEM DEL MARANON,0.175343426426303,0.685182129450105,0.0448582729070534,0.873239436619718,0.421805183199285,0.504911008569545,0.22002146550883,0.824945340538757,0.409613209681068,41743,11948,0.6724
DOS DE MAYO,0.160833483673101,0.769138252450538,0.0122393653071802,0.872834067547724,0.646675769351959,0.608659251285731,0.226228847703465,0.808016116423116,0.376327672835973,28260,13494,0.8072
EL COLLAO,0.178950499389461,0.801011302795955,0.0369467297025649,0.884305472038485,0.715817798923641,0.939135614041619,0.525237803007057,0.614217727543129,0.268536684231861,53327,39090,0.9472
EL DORADO,0.168915977361776,0.761727252938616,0.131775878442545,0.810498831936238,0.778541053320249,0.249420702754036,0.393833067517278,0.848171528080104,0.339631951700917,28470,11569,0.6141
ESPINAR,0.177781251085409,0.808012920704387,0.0437680316686422,0.858308605341246,0.613267072421687,0.893878737727283,0.552582159624413,0.563526796568372,0.336813618826455,45665,31461,0.9221
FERRENAFE,0.169932761894985,0.783462505774265,0.025799137263577,0.909964842891672,0.786686962603365,0.293219776573388,0.645647299476811,0.669034542934866,0.361510026497432,78604,26528,0.5134
GENERAL SANCHEZ CERRO,0.133938782374706,0.851059535822402,0.0147058823529412,0.838657501010918,0.573335477645545,0.622682225063939,0.309289617486339,0.56811301715439,0.249650837988827,13091,7860,0.8463
GRAN CHIMU,0.163357132232634,0.800498289454113,0.122372518489685,0.621827411167513,0.844541597016845,0.126265083690152,0.423168739791431,0.721924735980961,0.289603766182817,21851,4215,0.3178
GRAU,0.147679126259298,0.753648432351003,0.0109154504884815,0.918450184501845,0.791553716650021,0.952538897599807,0.283657111805461,0.840457584031636,0.344027202838557,18250,9703,0.868
HUACAYBAMBA,0.151773306748837,0.733309165609329,0.00802074050068865,0.828511151295962,0.766101694915254,0.497528963785141,0.108047016274864,0.84442027672044,0.39828392136774,12794,5666,0.832
HUALGAYOC,0.17245714872216,0.711972698347532,0.0462519419989643,0.783024572590842,0.885682353410769,0.182531719316416,0.230932620068442,0.739723391152622,0.297507349091934,71739,41949,0.904
HUALLAGA,0.163855158874427,0.811532029375409,0.0740165882524131,0.977104266183495,0.726050420168067,0.0571858175292235,0.572100507488551,0.76797789573184,0.3125,22093,8189,0.5844
HUAMALIES,0.161090720421223,0.782816733603644,0.0230708035003978,0.861648880914156,0.639343149894823,0.660969538327303,0.174958004910195,0.837813947231884,0.358289639474861,42898,20869,0.8267
HUAMANGA,0.227478259636987,0.81473029192683,0.036249773098566,0.865181363352095,0.867566754095541,0.821827917952442,0.698361996269133,0.612050575136254,0.403430568966937,212392,130495,0.823
HUANCA SANCOS,0.12403377333809,0.775954334641456,0.0111429001656377,0.836823389964441,0.728994490358127,0.919289263665111,0.481086323957323,0.819835890117731,0.336095992083127,7571,4219,0.8828
HUANCABAMBA,0.151227343252527,0.71801149765473,0.0105110991326506,0.877659308204435,0.729604400524481,0.139020924192679,0.225801407349492,0.840781697025139,0.353897370048033,90647,36285,0.6895
HUANCANE,0.162859273906784,0.777714176683839,0.0300515109173948,0.822196777623293,0.777073382544507,0.969385414277074,0.484829329962073,0.68054326898059,0.263534329003549,54989,40688,0.9488
HUANCAVELICA,0.196872772784953,0.783675491508335,0.0226531351939108,0.902730876523271,0.838689721302855,0.790424519753534,0.509854430000599,0.71641142420081,0.391964588469258,95192,58658,0.8814
HUANCAYO,0.215543927494662,0.861631370105294,0.0377113253599634,0.831699996101821,0.931144721756769,0.416508510525723,0.850636809514644,0.351586741566856,0.371100227452627,441918,192763,0.6021
HUANTA,0.20126081416404,0.771510965059352,0.0195017688679245,0.872995898583147,0.824804648367061,0.817659198113208,0.52438276337985,0.782196588648202,0.368514018137633,70009,37717,0.8308
HUANUCO,0.216464381026391,0.803310872299308,0.0334306055084175,0.844877958579882,0.833966388850936,0.444348283675236,0.670690936106984,0.543645640548472,0.363084046633857,228782,100117,0.6395
HUARAL,0.199094063013192,0.861869079598473,0.0448456057007126,0.865080835075279,0.918893696445236,0.247153036986766,0.883817676353527,0.461353576439113,0.304426991175698,150797,47573,0.4349
HUARAZ,0.205805924263127,0.826969061097014,0.0261803862452988,0.896379525593009,0.896625128560836,0.564162712177264,0.65522981796169,0.554082080812024,0.359165654579454,129360,58628,0.6385
HUARI,0.167183295295841,0.762118063834861,0.0129847303086894,0.814987151885548,0.807792376739951,0.682676040865649,0.216194679416452,0.759137514051163,0.321069216170731,56793,27357,0.8025
HUARMEY,0.189856020942408,0.858049738219895,0.0391291678807809,0.847863247863248,0.83943661971831,0.198018565541356,0.768989328311362,0.513416230366492,0.294541816174441,23652,7621,0.4523
HUAROCHIRI,0.181804110413621,0.871803250494454,0.032529192865392,0.863391014446738,0.814426708907031,0.166196158946063,0.696651760119252,0.499441052541061,0.288192068009078,87022,33291,0.5311
HUAURA,0.203799108417331,0.864562882930364,0.0506664458978392,0.883686094467357,0.898533348662276,0.210563788393079,0.868490691592256,0.395634319344709,0.329572567370115,177424,59687,0.464
