prov,Ag,AgN,Luz,LuzN,Ln,LnN,gas,sis,acsedu,poblacion,sabe leer,no sabe,no tiene rel,si tiene rel,electores,votoscas
HUALLAGA,5932,139,5616,2119,1179,19438,4622,21124,17886,4507,22322,3694,1526,19091,22093,8189
HUAMALIES,9124,1465,9422,5315,25756,13211,2708,43599,31576,8383,40737,8469,899,38068,42898,20869
HUAMANGA,55337,8623,60531,9240,181098,39262,54658,172717,159395,64193,229912,37274,7988,212372,212392,130495
HUANCA SANCOS,2118,413,2117,787,6105,536,1488,6894,5367,1043,6525,1559,74,6567,7571,4219
HUANCABAMBA,17533,2444,22814,8455,11348,70280,7220,93748,67928,16862,80059,25076,858,80770,90647,36285
HUANCANE,10053,2174,17896,5134,46483,1468,11505,39234,40879,9389,44836,10671,1441,46510,54989,40688
HUANCAVELICA,24594,2650,27114,5215,69785,18503,17022,82426,66347,22651,90165,18952,2000,86288,95192,58658
HUANCAYO,106678,21587,126699,9369,181055,253642,128168,191831,326543,117604,470119,49110,16393,418304,441918,192763
HUANTA,18731,2725,20583,4372,55470,12370,13678,69980,53269,18006,69024,15331,1323,66517,70009,37717
HUANUCO,45691,8389,61038,12152,102173,127766,54165,159504,177169,63510,235689,42478,7687,222252,228782,100117
HUARAL,32694,5099,43324,3824,36418,110932,44190,84842,121863,36613,158496,16702,6608,140742,150797,47573
HUARAZ,35182,4067,37487,4322,73353,56668,30307,90834,99726,33739,135570,20049,3404,126617,129360,58628
HUARI,11735,2664,12419,2955,31072,14443,3527,44572,37921,9816,44747,11107,591,44924,56793,27357
HUARMEY,5952,1068,7748,1482,4757,19266,7350,15690,20447,5802,26222,2762,940,23083,23652,7621
HUAROCHIRI,10877,1721,13368,3046,7771,38987,12151,29040,39521,10571,50691,4831,1521,45237,87022,33291
HUAURA,45425,5979,54709,6178,38151,143034,56121,90080,144992,46402,196848,19420,9180,172005,177424,59687
HUAYLAS,10890,800,12031,2298,22228,17364,5599,38996,32820,8792,38756,9834,638,38954,42646,13625
HUAYTARA,3280,591,3689,2750,8330,5332,1808,13412,11825,2332,13777,2695,153,13509,18290,6890
ICA,65173,26072,91204,8976,66720,243343,83660,110939,243743,83360,342988,28858,13105,296958,298645,105869
ILO,18967,3060,20798,1994,17910,42160,22269,23094,47437,13615,66057,5321,3706,56364,63147,30351
ISLAY,12124,1659,13733,1678,10773,31847,14388,14175,35686,8983,45557,4303,1676,40944,45429,24149
JAEN,34940,4571,39972,9909,14433,127594,32703,126175,115545,36123,148414,27116,4405,137622,158905,72760
JAUJA,17886,2878,21110,2632,15274,50938,14867,44620,53519,14692,70310,9136,1385,64827,69503,24646
JORGE BASADRE,2163,522,2652,413,2933,5979,1751,2315,7600,2151,9557,795,446,8466,8544,5152
JULCAN,3436,2010,6266,2608,202,20387,3524,24393,17989,4517,21647,4631,1081,19508,24779,8611
JUNIN,5621,367,6029,1359,9570,8742,5402,13363,15266,4150,18667,3299,268,18044,17765,7902
LA CONVENCION,27328,2228,32051,9010,74344,42378,21308,93122,100071,28226,119262,21174,3160,113562,150555,80604
LA MAR,15130,2710,14442,6100,45690,7741,8378,59363,44101,13343,53335,13400,972,52459,57117,31155
LA UNION,3011,165,3329,913,7447,2387,1785,9491,8421,1500,9588,2613,212,9622,10910,5300
LAMAS,13814,2019,17851,3639,11517,48439,10975,66470,51777,13886,63529,13329,7041,52915,64173,23338
LAMBAYEQUE,46975,8449,61399,10564,33950,188497,47709,177404,186897,58323,242762,38204,4591,217856,229571,72162
LAMPA,5712,665,9227,6060,30976,1752,7401,25906,27337,8043,33169,5732,372,32356,35855,26417
LAURICOCHA,2542,578,2684,2783,7870,6693,760,14182,11871,3134,15747,2227,142,14421,17578,8868
LEONCIO PRADO,17203,3031,25171,7746,26833,71382,22915,76464,80294,26193,104091,17003,7213,91002,100653,36550
LIMA,1841545,151450,2088460,86740,1439693,5621067,1838168,2335157,5557095,1823609,7674911,542649,458304,6602456,7558581,1938450
LORETO,2995,642,8781,4771,12942,27646,3236,49678,33744,9970,44986,12635,2865,37723,48852,11058
LUCANAS,12290,1277,13145,4180,30049,10682,7784,36246,34518,7701,41031,8050,594,40137,35663,15932
LUYA,9724,1657,10886,1871,1698,31738,6339,36541,28215,6786,34354,7638,965,32471,35017,12606
MANU,1876,1221,3686,1806,9642,4047,3214,9342,12113,4061,14970,2435,1089,12600,12413,5913
MARAÑON,3835,665,3898,3193,8828,10354,1834,21963,15293,4538,19820,5203,1154,18028,20200,8579
MARISCAL CACERES,11069,1040,14106,2241,4856,42716,10953,44044,40683,11532,52278,8406,4214,43358,48315,16963
MARISCAL LUZURIAGA,2865,573,4090,1795,11917,3219,560,17682,12234,2839,13802,5476,38,15098,16100,8383
MARISCAL NIETO,23579,1697,24111,3336,30351,39278,22561,30671,54075,16755,74094,7678,3415,66214,72129,42309
MARISCAL RAMON CASTILLA,1509,1014,6291,4068,5662,26392,2708,36463,27223,8089,36758,8690,1559,30495,47277,6172
MAYNAS,65243,8539,86512,15295,26579,329207,68689,275490,287355,88064,399845,53119,12179,343607,374577,104623
MELGAR,12320,1396,14460,6398,48592,5081,12164,45405,41674,12288,54905,9310,599,53074,54677,39150
MOHO,6546,944,6924,1994,16175,581,2351,14325,14800,2635,15478,3717,1093,15663,21352,13967
MORROPON,28184,6214,38380,6564,17851,106370,24943,107944,105354,26151,128192,25163,1399,122822,131526,38125
MOYOBAMBA,25088,2241,28518,3759,5787,85754,22112,77465,75845,23880,98955,16478,13807,77734,96987,36838
NASCA,11265,1751,17228,2807,14772,39720,15670,27089,45110,13552,59782,5922,2766,51726,57819,20001
OCROS,1440,258,1752,797,2193,3458,653,4524,4986,1053,5979,726,133,5518,5468,1642
OTUZCO,14717,2123,19529,3536,4519,53811,5238,57712,51750,12851,60172,13201,1714,56616,68814,22808
OXAPAMPA,11211,1333,15778,7437,24146,40463,12791,55354,54943,15937,69652,12652,8840,55769,73315,18793
OYON,3908,291,4304,304,4789,9075,2746,5818,11978,3044,15002,1905,351,13513,12601,4419
PACASMAYO,18300,6532,26154,2119,9271,71608,25066,48846,67359,17980,87213,10603,5626,75253,79705,23759
PACHITEA,5856,1016,7647,5639,24893,11172,4828,41230,30545,9333,33872,12264,379,35686,41193,20480
PADRE ABAD,7959,2055,11379,3627,9800,33053,10056,38039,37432,11555,47357,8811,4975,37878,49879,23023
PAITA,18603,6737,29732,3886,12246,84070,27302,59961,80312,25595,107453,14371,2375,93941,90955,28079
PALLASCA,4739,667,5212,1193,795,16583,802,19206,14506,3185,18239,3986,430,16948,17769,7451
PALPA,2103,1528,3456,670,1707,8707,2735,7154,8701,2269,11271,1339,245,10169,11991,4385
PARINACOCHAS,5105,1502,6616,1156,15263,6298,4748,19605,17631,4656,22070,4383,444,21117,18008,8985
PARURO,6069,1011,5846,2177,18222,1938,2529,22122,16673,3508,18467,6007,232,19928,24396,14739
PASCO,13556,11936,26369,4078,39232,56645,25640,49868,75800,26045,104574,12284,2036,93841,103357,51093
PATAZ,11394,2970,12472,5153,5887,49471,6014,47224,45924,14110,57321,14101,2552,52806,52983,17526
PAUCAR DEL SARA SARA,2663,191,2695,413,5000,2678,1565,6759,6438,1269,7849,1332,184,7494,6659,3051
PAUCARTAMBO,7529,1015,8274,3632,28924,2048,3481,36179,24691,7147,29433,10559,522,30450,34593,23356
PICOTA,5415,2760,8909,1628,3327,26485,5977,30344,25818,6781,32496,5611,2431,27381,32215,12310
PISCO,25689,10975,36631,3573,23291,91772,31368,51311,93753,29786,128945,13165,4425,110638,113273,42172
PIURA,120457,33114,169963,23928,63383,551484,147390,334267,494541,162449,665216,91005,10380,604487,580987,150475
POMABAMBA,4957,999,4671,2273,13932,4667,1072,20664,14612,3420,16723,6830,73,18526,18893,9061
PUERTO INCA,1902,326,3922,4809,5154,17590,4089,21023,20734,5914,25379,4927,1688,21056,26435,9290
PUNO,37618,7655,54867,16038,153810,26009,48611,94906,136909,44773,184688,25867,6731,173088,182477,121889
PURUS,26,0,284,399,1320,614,116,2164,1558,489,1969,695,78,1856,3041,369
PUTUMAYO,25,68,745,953,2354,3005,427,6205,4449,1564,5906,1298,172,5187,6903,825
QUISPICANCHI,17544,2456,18572,4990,55996,8637,11125,66607,51555,16262,64752,17837,926,63707,69572,45833
RECUAY,3393,481,4050,1034,8754,4986,1838,12173,11434,2733,13918,2480,165,13575,16039,7790
REQUENA,2005,766,8523,3593,3018,35178,2741,46388,31071,8607,44822,9314,1028,37168,46054,8780
RIOJA,24456,3363,27436,4491,7171,82418,21761,84997,75324,22971,96741,18340,13409,76180,99156,40384
RODRIGUEZ DE MENDOZA,5791,897,6895,2009,1137,21477,3781,20815,19725,4535,24095,4323,1174,21440,22886,7967
SAN ANTONIO DE PUTINA,4000,879,8619,3696,25918,3657,6884,18395,25786,8583,29977,4700,339,29236,22609,17280
SAN IGNACIO,23739,4461,26807,9197,7765,87059,13614,106271,78870,22735,100449,22273,2783,92041,103195,53076
SAN MARCOS,9718,1763,11523,3061,4200,32326,4825,39033,31263,7713,35537,9967,584,35942,39727,17596
SAN MARTIN,40270,4052,45964,2691,15988,134924,42260,98822,121314,41585,165631,17590,11305,139607,146743,49503
SAN MIGUEL,10006,923,11532,3572,4222,32541,3463,38181,31898,6199,36560,7466,1450,35313,39653,18354
SAN PABLO,4457,727,4614,1794,2396,13758,1431,17931,13670,3277,15833,4183,1024,15130,18527,9781
SAN ROMAN,41410,5276,71777,7387,211703,29372,78984,95169,184585,72708,263029,29207,7985,233090,220844,151974
SANCHEZ CARRION,17770,8924,26119,10255,7463,94388,12691,114892,86314,26879,101038,33040,2253,99598,110055,33875
SANDIA,6189,1751,10166,9259,37821,2682,7432,35268,35285,10169,41035,7369,1526,38977,41947,27808
SANTA,85401,8902,106077,10680,48314,298637,111257,173084,279888,84775,377097,38174,29824,317127,356727,119916
SANTA CRUZ,6815,1640,8992,2273,1914,27597,2876,29075,24736,5140,29173,6277,1502,28009,32122,13949
SANTIAGO DE CHUCO,6958,3105,10224,3415,3097,34473,2587,38084,31627,8525,39720,8057,1410,36160,39189,13560
SATIPO,21223,2884,31542,18809,78286,64945,17819,138730,120365,41446,157582,31504,12390,130841,128701,46149
SECHURA,4140,11722,16477,3320,5043,50604,14810,41264,46030,15495,64360,8976,1060,54587,53845,16243
SIHUAS,5348,806,5938,1693,8844,11420,1235,23210,16401,3766,19539,5947,151,20113,21668,9602
SUCRE,2484,357,2686,663,6902,652,1228,7324,6149,1114,7424,1655,112,7442,7708,3425
SULLANA,37130,25706,71068,7636,28782,212293,61501,158581,198701,59349,261893,33877,4914,236161,243023,50265
TACNA,76794,6252,78453,11328,104338,145334,85374,94275,196492,64794,270263,23206,16482,233190,262229,141357
